Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date										
C8	Acetic Acid		0.447		4551		7/20/2016										
C9	a-D-Glucose		0.452		4551		7/20/2016										
C10	Maltose		0.301		4551		7/20/2016										
C11	D-Melibiose		0.323		4551		7/20/2016										
C12	Thymidine		0.331		4551		7/20/2016										
D1	L-Asparagine		0.412		4551		7/20/2016										
D2	D-Aspartic Acid		0.384		4551		7/20/2016										
D3	D-Glucosaminic Acid		0.484		4551		7/20/2016										
D4	"1,2-Propanediol"		0.312		4551		7/20/2016										
D5	Tween 40		0.174		4551		7/20/2016										
D6	a-Keto-Glutaric Acid		0.331		4551		7/20/2016										
D7	a-Keto-Butyric Acid		0.512		4551		7/20/2016										
D8	a-Methyl-D-Galactoside		0.314		4551		7/20/2016										
D9	a-D-Lactose		0.303		4551		7/20/2016										
D10	Lactulose		0.305		4551		7/20/2016										
D11	Sucrose		0.34		4551		7/20/2016										
D12	Uridine		0.23		4551		7/20/2016										
E1	L-Glutamine		0.424		4551		7/20/2016										
E2	M-Tartaric Acid		0.631		4551		7/20/2016										
E3	D-Glucose-1-Phosphate		0.332		4551		7/20/2016										
E4	D-Fructose-6-Phosphate		0.366		4551		7/20/2016										
E5	Tween 80		0.017		4551		7/20/2016										
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.298		4551		7/20/2016										
E7	a-Hydroxy Butyric Acid		0.575		4551		7/20/2016										
E8	b-Methyl-D-Glucoside		0.335		4551		7/20/2016										
E9	Adonitol		0.341		4551		7/20/2016										
E10	Maltotriose		0.299		4551		7/20/2016										
E11	2-Deoxy Adenosine		0.297		4551		7/20/2016										
E12	Adenosine		0.228		4551		7/20/2016										
F1	Glycil-L-Aspartic Acid		0.314		4551		7/20/2016										
F2	Citric Acid		0.49		4551		7/20/2016										
F3	M-Inositol		0.307		4551		7/20/2016										
F4	D-Threonine		0.504		4551		7/20/2016										
F5	Fumaric Acid		0.348		4551		7/20/2016										
F6	Bromo Succinic Acid		0.304		4551		7/20/2016										
F7	Propionic Acid		0.514		4551		7/20/2016										
F8	Mucic Acid		0.219		4551		7/20/2016										
F9	Glycolic Acid		0.338		4551		7/20/2016										
F10	Glyoxylic Acid		0.415		4551		7/20/2016										
F11	D-Cellobiose		0.301		4551		7/20/2016										
F12	Inosine		0.262		4551		7/20/2016										
G1	Glycil-L-Glutamic Acid		0.322		4551		7/20/2016										
G2	Tricarballylic Acid		0.354		4551		7/20/2016										
G3	L-Serine		0.471		4551		7/20/2016										
G4	L-Threonine		0.519		4551		7/20/2016										
G5	L-Alanine		0.38		4551		7/20/2016										
G6	L-Alanyl-Glycine		0.223		4551		7/20/2016										
G7	Acetoacetic Acid		0.29		4551		7/20/2016										
G8	N-Acetyl-b-D-Mannosamine		0.296		4551		7/20/2016										
G9	Mono Methyl Succinate		0.338		4551		7/20/2016										
G10	Methyl Pyruvate		0.214		4551		7/20/2016										
G11	D-Malic Acid		0.4		4551		7/20/2016										
G12	L-Malic Acid		0.379		4551		7/20/2016										
H1	Glycil-L-Proline		0.273		4551		7/20/2016										
H2	p-Hydroxy Phenyl Acetic Acid		0.327		4551		7/20/2016										
H3	m-Hydroxy Phenyl Acetic Acid		0.35		4551		7/20/2016										
H4	Tyramine		0.486		4551		7/20/2016										
H5	D-Psicose		0.351		4551		7/20/2016										
H6	L-Lyxose		0.483		4551		7/20/2016										
H7	Glucuronamide		0.328		4551		7/20/2016										
H8	Pyruvic Acid		0.351		4551		7/20/2016										
H9	L-Galactonic Acid-g-Lactone		0.36		4551		7/20/2016										
H10	D-Galacturonic Acid		0.381		4551		7/20/2016										
H11	Phenylethyl-amine		0.487		4551		7/20/2016										
H12	2-Aminoethanol		0.439		4551		7/20/2016										
A1	Negative Control		0.375		4551		7/20/2016										
A2	Chondroitin Sulfate C		0.491		4551		7/20/2016										
A3	a-Cyclodextrin		0.534		4551		7/20/2016										
A4	b-Cyclodextrin		0.48		4551		7/20/2016										
A5	g-Cyclodextrin		0.387		4551		7/20/2016										
A6	Dextrin		0.163		4551		7/20/2016										
A7	Gelatin		0.317		4551		7/20/2016										
A8	Glycogen		0.248		4551		7/20/2016										
A9	Inulin		0.324		4551		7/20/2016										
A10	Laminarin		0.305		4551		7/20/2016										
A11	Mannan		0.189		4551		7/20/2016										
A12	Pectin		0.326		4551		7/20/2016										
B1	N-Acetyl-D-Galactosamine		0.383		4551		7/20/2016										
B2	N-Acetyl-Neuraminic Acid		0.443		4551		7/20/2016										
B3	b-D-Allose		0.529		4551		7/20/2016										
B4	Amygdalin		0.353		4551		7/20/2016										
B5	D-Arabinose		0.487		4551		7/20/2016										
B6	D-Arabitol		0.502		4551		7/20/2016										
B7	L-Arabitol		0.39		4551		7/20/2016										
B8	Arbutin		0.405		4551		7/20/2016										
B9	2-Deoxy-D-Ribose		0.34		4551		7/20/2016										
B10	I-Erythritol		0.376		4551		7/20/2016										
B11	D-Fucose		0.417		4551		7/20/2016										
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.227		4551		7/20/2016										
C1	Gentiobiose		0.41		4551		7/20/2016										
C2	L-Glucose		0.462		4551		7/20/2016										
C3	Lactitol		0.367		4551		7/20/2016										
C4	D-Melezitose		0.392		4551		7/20/2016										
C5	Maltitol		0.361		4551		7/20/2016										
C6	a-Methyl-D-Glucoside		0.356		4551		7/20/2016										
C7	b-Methyl-D-Gactoside		0.371		4551		7/20/2016										
C8	3-Methyl-Glucose		0.31		4551		7/20/2016										
C9	b-Methyl-D-Glucuronic Acid		0.349		4551		7/20/2016										
C10	a-Methyl-D-Mannoside		0.363		4551		7/20/2016										
C11	b-Methyl-D-Xyloside		0.352		4551		7/20/2016										
C12	Palatinose		0.385		4551		7/20/2016										
D1	D-Raffinose		0.376		4551		7/20/2016										
D2	Salicin		0.324		4551		7/20/2016										
D3	Sedoheptulosa		0.329		4551		7/20/2016										
D4	L-Sorbose		0.376		4551		7/20/2016										
D5	Stachyose		0.349		4551		7/20/2016										
D6	D-Tagatose		0.41		4551		7/20/2016										
D7	Turanose		0.351		4551		7/20/2016										
D8	Xylitol		0.357		4551		7/20/2016										
D9	N-Acetyl-D-Glucosaminatol		0.302		4551		7/20/2016										
D10	g-Amino Butyric Acid		0.385		4551		7/20/2016										
D11	d-Amino Valeric Acid		0.315		4551		7/20/2016										
D12	Butyric Acid		0.525		4551		7/20/2016										
E1	Capric Acid		0.433		4551		7/20/2016										
E2	Caproic Acid		0.357		4551		7/20/2016										
E3	Citraconic Acid		0.571		4551		7/20/2016										
E4	Citramalic Acid		0.441		4551		7/20/2016										
E5	D-Glucosamine		0.264		4551		7/20/2016										
E6	2-Hydroxy Benzoic Acid		0.536		4551		7/20/2016										
E7	4-Hydroxy Benzoic Acid		0.311		4551		7/20/2016										
E8	b-Hydroxy Butyric Acid		0.478		4551		7/20/2016										
E9	g-Hydroxy Butyric Acid		0.453		4551		7/20/2016										
E10	a-Keto Valeric Acid		0.438		4551		7/20/2016										
E11	Itaconic Acid		0.495		4551		7/20/2016										
E12	5-Keto-D-Gluconic Acid		0.397		4551		7/20/2016										
F1	D-Lactic Acid Methyl Ester		0.393		4551		7/20/2016										
F2	Malonic Acid		0.432		4551		7/20/2016										
F3	Melibionic Acid		0.191		4551		7/20/2016										
F4	Oxalic Acid		0.288		4551		7/20/2016										
F5	Oxalomalic Acid		0.358		4551		7/20/2016										
F6	Quinic Acid		0.364		4551		7/20/2016										
F7	"D-Ribono-1,4-Lactone"		0.305		4551		7/20/2016										
F8	Sebacic Acid		0.297		4551		7/20/2016										
F9	Sorbic Acid		0.349		4551		7/20/2016										
F10	Succinamic Acid		0.265		4551		7/20/2016										
F11	D-Tartaric Acid		0.512		4551		7/20/2016										
F12	L-Tartaric Acid		0.445		4551		7/20/2016										
G1	Acetamide		0.377		4551		7/20/2016										
G2	L-Alaninamide		0.328		4551		7/20/2016										
G3	N-Acetyl-L-Glutamic Acid		0.389		4551		7/20/2016										
G4	L-Arginine		0.555		4551		7/20/2016										
G5	Glycine		0.417		4551		7/20/2016										
G6	L-Histidine		0.464		4551		7/20/2016										
G7	L-Homoserine		0.194		4551		7/20/2016										
G8	Hydroxy-L-Proline		0.534		4551		7/20/2016										
G9	L-Isoleucine		0.552		4551		7/20/2016										
G10	L-Leucine		0.371		4551		7/20/2016										
G11	L-Lysine		0.527		4551		7/20/2016										
G12	L-Methionine		0.477		4551		7/20/2016										
H1	L-Ornithine		0.628		4551		7/20/2016										
H2	Phenylalanine		0.385		4551		7/20/2016										
H3	L-Pyroglutamic Acid		0.405		4551		7/20/2016										
H4	L-Valine		0.464		4551		7/20/2016										
H5	"D,L-Carnitine"		0.433		4551		7/20/2016										
H6	Sec-Butylamine		0.458		4551		7/20/2016										
H7	"D,L-Octopamine"		0.388		4551		7/20/2016										
H8	Putrescine		0.461		4551		7/20/2016										
H9	Dihydroxy Acetone		0.42		4551		7/20/2016										
H10	"2,3-Butanediol"		0.391		4551		7/20/2016										
H11	"2,3-Butanone"		0.301		4551		7/20/2016										
H12	3-Hydroxy 2-Butanone		0.401		4551		7/20/2016										
A1	Negative Control		0.351		5150		7/20/2016										
A2	L-Arabinose		0.523		5150		7/20/2016										
A3	N-Acetyl-D-Glucosamine		0.242		5150		7/20/2016										
A4	D-Saccharic Acid		0.508		5150		7/20/2016										
A5	Succinic Acid		0.397		5150		7/20/2016										
A6	D-Galactose		0.471		5150		7/20/2016										
A7	L-Aspartic Acid		0.513		5150		7/20/2016										
A8	L-Proline		0.376		5150		7/20/2016										
A9	D-Alanine		0.402		5150		7/20/2016										
A10	D-Trehalose		0.411		5150		7/20/2016										
A11	D-Mannose		0.527		5150		7/20/2016										
A12	Dulcitol		0.39		5150		7/20/2016										
B1	D-Serine		0.423		5150		7/20/2016										
B2	D-Sorbitol		0.383		5150		7/20/2016										
B3	Glycerol		0.358		5150		7/20/2016										
B4	L-Fucose		0.413		5150		7/20/2016										
B5	D-Glucuronic Acid		0.365		5150		7/20/2016										
B6	D-Gluconic Acid		0.534		5150		7/20/2016										
B7	"D,L-a-Glycerol-Phosphate"		0.348		5150		7/20/2016										
B8	D-Xylose		0.56		5150		7/20/2016										
B9	L-Lactic Acid		0.442		5150		7/20/2016										
B10	Formic Acid		0.497		5150		7/20/2016										
B11	D-Mannitol		0.561		5150		7/20/2016										
B12	L-Glutamic Acid		0.461		5150		7/20/2016										
C1	D-Glucose-6-Phosphate		0.479		5150		7/20/2016										
C2	D-Galactonic Acid-g-Lactone		0.482		5150		7/20/2016										
C3	"D,L-Malic Acid"		0.417		5150		7/20/2016										
C4	D-Ribose		0.478		5150		7/20/2016										
C5	Tween 20		0.027		5150		7/20/2016										
C6	L-Rhamnose		0.409		5150		7/20/2016										
C7	D-Fructose		0.404		5150		7/20/2016										
C8	Acetic Acid		0.465		5150		7/20/2016										
C9	a-D-Glucose		0.533		5150		7/20/2016										
C10	Maltose		0.412		5150		7/20/2016										
C11	D-Melibiose		0.414		5150		7/20/2016										
C12	Thymidine		0.441		5150		7/20/2016										
D1	L-Asparagine		0.412		5150		7/20/2016										
D2	D-Aspartic Acid		0.434		5150		7/20/2016										
D3	D-Glucosaminic Acid		0.52		5150		7/20/2016										
D4	"1,2-Propanediol"		0.369		5150		7/20/2016										
D5	Tween 40		0.158		5150		7/20/2016										
D6	a-Keto-Glutaric Acid		0.347		5150		7/20/2016										
D7	a-Keto-Butyric Acid		0.494		5150		7/20/2016										
D8	a-Methyl-D-Galactoside		0.357		5150		7/20/2016										
D9	a-D-Lactose		0.344		5150		7/20/2016										
D10	Lactulose		0.405		5150		7/20/2016										
D11	Sucrose		0.385		5150		7/20/2016										
D12	Uridine		0.269		5150		7/20/2016										
E1	L-Glutamine		0.402		5150		7/20/2016										
E2	M-Tartaric Acid		0.639		5150		7/20/2016										
E3	D-Glucose-1-Phosphate		0.38		5150		7/20/2016										
E4	D-Fructose-6-Phosphate		0.353		5150		7/20/2016										
E5	Tween 80		0.019		5150		7/20/2016										
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.343		5150		7/20/2016										
E7	a-Hydroxy Butyric Acid		0.647		5150		7/20/2016										
E8	b-Methyl-D-Glucoside		0.374		5150		7/20/2016										
E9	Adonitol		0.43		5150		7/20/2016										
E10	Maltotriose		0.424		5150		7/20/2016										
E11	2-Deoxy Adenosine		0.326		5150		7/20/2016										
E12	Adenosine		0.246		5150		7/20/2016										
F1	Glycil-L-Aspartic Acid		0.355		5150		7/20/2016										
F2	Citric Acid		0.474		5150		7/20/2016										
F3	M-Inositol		0.358		5150		7/20/2016										
F4	D-Threonine		0.524		5150		7/20/2016										
F5	Fumaric Acid		0.388		5150		7/20/2016										
F6	Bromo Succinic Acid		0.332		5150		7/20/2016										
F7	Propionic Acid		0.5		5150		7/20/2016										
F8	Mucic Acid		0.255		5150		7/20/2016										
F9	Glycolic Acid		0.364		5150		7/20/2016										
F10	Glyoxylic Acid		0.487		5150		7/20/2016										
F11	D-Cellobiose		0.375		5150		7/20/2016										
F12	Inosine		0.27		5150		7/20/2016										
G1	Glycil-L-Glutamic Acid		0.353		5150		7/20/2016										
G2	Tricarballylic Acid		0.419		5150		7/20/2016										
G3	L-Serine		0.503		5150		7/20/2016										
G4	L-Threonine		0.556		5150		7/20/2016										
G5	L-Alanine		0.414		5150		7/20/2016										
G6	L-Alanyl-Glycine		0.257		5150		7/20/2016										
G7	Acetoacetic Acid		0.362		5150		7/20/2016										
G8	N-Acetyl-b-D-Mannosamine		0.407		5150		7/20/2016										
G9	Mono Methyl Succinate		0.381		5150		7/20/2016										
G10	Methyl Pyruvate		0.296		5150		7/20/2016										
G11	D-Malic Acid		0.487		5150		7/20/2016										
G12	L-Malic Acid		0.398		5150		7/20/2016										
H1	Glycil-L-Proline		0.301		5150		7/20/2016										
H2	p-Hydroxy Phenyl Acetic Acid		0.337		5150		7/20/2016										
H3	m-Hydroxy Phenyl Acetic Acid		0.373		5150		7/20/2016										
H4	Tyramine		0.536		5150		7/20/2016										
H5	D-Psicose		0.392		5150		7/20/2016										
H6	L-Lyxose		0.48		5150		7/20/2016										
H7	Glucuronamide		0.353		5150		7/20/2016										
H8	Pyruvic Acid		0.409		5150		7/20/2016										
H9	L-Galactonic Acid-g-Lactone		0.403		5150		7/20/2016										
H10	D-Galacturonic Acid		0.454		5150		7/20/2016										
H11	Phenylethyl-amine		0.513		5150		7/20/2016										
H12	2-Aminoethanol		0.478		5150		7/20/2016										
A1	Negative Control		0.424		5150		7/20/2016										
A2	Chondroitin Sulfate C		0.484		5150		7/20/2016										
A3	a-Cyclodextrin		0.522		5150		7/20/2016										
A4	b-Cyclodextrin		0.47		5150		7/20/2016										
A5	g-Cyclodextrin		0.386		5150		7/20/2016										
A6	Dextrin		0.183		5150		7/20/2016										
A7	Gelatin		0.37		5150		7/20/2016										
A8	Glycogen		0.276		5150		7/20/2016										
A9	Inulin		0.354		5150		7/20/2016										
A10	Laminarin		0.309		5150		7/20/2016										
A11	Mannan		0.23		5150		7/20/2016										
A12	Pectin		0.248		5150		7/20/2016										
B1	N-Acetyl-D-Galactosamine		0.417		5150		7/20/2016										
B2	N-Acetyl-Neuraminic Acid		0.474		5150		7/20/2016										
B3	b-D-Allose		0.597		5150		7/20/2016										
B4	Amygdalin		0.376		5150		7/20/2016										
B5	D-Arabinose		0.557		5150		7/20/2016										
B6	D-Arabitol		0.572		5150		7/20/2016										
B7	L-Arabitol		0.423		5150		7/20/2016										
B8	Arbutin		0.43		5150		7/20/2016										
B9	2-Deoxy-D-Ribose		0.393		5150		7/20/2016										
B10	I-Erythritol		0.428		5150		7/20/2016										
B11	D-Fucose		0.469		5150		7/20/2016										
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.21		5150		7/20/2016										
C1	Gentiobiose		0.426		5150		7/20/2016										
C2	L-Glucose		0.523		5150		7/20/2016										
C3	Lactitol		0.44		5150		7/20/2016										
C4	D-Melezitose		0.42		5150		7/20/2016										
C5	Maltitol		0.438		5150		7/20/2016										
C6	a-Methyl-D-Glucoside		0.43		5150		7/20/2016										
C7	b-Methyl-D-Gactoside		0.418		5150		7/20/2016										
C8	3-Methyl-Glucose		0.375		5150		7/20/2016										
C9	b-Methyl-D-Glucuronic Acid		0.413		5150		7/20/2016										
C10	a-Methyl-D-Mannoside		0.44		5150		7/20/2016										
C11	b-Methyl-D-Xyloside		0.459		5150		7/20/2016										
C12	Palatinose		0.395		5150		7/20/2016										
D1	D-Raffinose		0.402		5150		7/20/2016										
D2	Salicin		0.406		5150		7/20/2016										
D3	Sedoheptulosa		0.433		5150		7/20/2016										
D4	L-Sorbose		0.448		5150		7/20/2016										
D5	Stachyose		0.428		5150		7/20/2016										
D6	D-Tagatose		0.504		5150		7/20/2016										
D7	Turanose		0.416		5150		7/20/2016										
D8	Xylitol		0.42		5150		7/20/2016										
D9	N-Acetyl-D-Glucosaminatol		0.358		5150		7/20/2016										
D10	g-Amino Butyric Acid		0.432		5150		7/20/2016										
D11	d-Amino Valeric Acid		0.429		5150		7/20/2016										
D12	Butyric Acid		0.604		5150		7/20/2016										
E1	Capric Acid		0.36		5150		7/20/2016										
E2	Caproic Acid		0.386		5150		7/20/2016										
E3	Citraconic Acid		0.689		5150		7/20/2016										
E4	Citramalic Acid		0.51		5150		7/20/2016										
E5	D-Glucosamine		0.331		5150		7/20/2016										
E6	2-Hydroxy Benzoic Acid		0.569		5150		7/20/2016										
E7	4-Hydroxy Benzoic Acid		0.351		5150		7/20/2016										
E8	b-Hydroxy Butyric Acid		0.524		5150		7/20/2016										
E9	g-Hydroxy Butyric Acid		0.528		5150		7/20/2016										
E10	a-Keto Valeric Acid		0.475		5150		7/20/2016										
E11	Itaconic Acid		0.566		5150		7/20/2016										
E12	5-Keto-D-Gluconic Acid		0.398		5150		7/20/2016										
F1	D-Lactic Acid Methyl Ester		0.44		5150		7/20/2016										
F2	Malonic Acid		0.486		5150		7/20/2016										
F3	Melibionic Acid		0.209		5150		7/20/2016										
F4	Oxalic Acid		0.302		5150		7/20/2016										
F5	Oxalomalic Acid		0.457		5150		7/20/2016										
F6	Quinic Acid		0.448		5150		7/20/2016										
F7	"D-Ribono-1,4-Lactone"		0.38		5150		7/20/2016										
F8	Sebacic Acid		0.341		5150		7/20/2016										
F9	Sorbic Acid		0.364		5150		7/20/2016										
F10	Succinamic Acid		0.355		5150		7/20/2016										
F11	D-Tartaric Acid		0.566		5150		7/20/2016										
F12	L-Tartaric Acid		0.482		5150		7/20/2016										
G1	Acetamide		0.44		5150		7/20/2016										
G2	L-Alaninamide		0.376		5150		7/20/2016										
G3	N-Acetyl-L-Glutamic Acid		0.479		5150		7/20/2016										
G4	L-Arginine		0.592		5150		7/20/2016										
G5	Glycine		0.473		5150		7/20/2016										
G6	L-Histidine		0.522		5150		7/20/2016										
G7	L-Homoserine		0.207		5150		7/20/2016										
G8	Hydroxy-L-Proline		0.546		5150		7/20/2016										
G9	L-Isoleucine		0.643		5150		7/20/2016										
G10	L-Leucine		0.42		5150		7/20/2016										
G11	L-Lysine		0.607		5150		7/20/2016										
G12	L-Methionine		0.576		5150		7/20/2016										
H1	L-Ornithine		0.641		5150		7/20/2016										
H2	Phenylalanine		0.395		5150		7/20/2016										
H3	L-Pyroglutamic Acid		0.439		5150		7/20/2016										
H4	L-Valine		0.478		5150		7/20/2016										
H5	"D,L-Carnitine"		0.467		5150		7/20/2016										
H6	Sec-Butylamine		0.514		5150		7/20/2016										
H7	"D,L-Octopamine"		0.442		5150		7/20/2016										
H8	Putrescine		0.456		5150		7/20/2016										
H9	Dihydroxy Acetone		0.47		5150		7/20/2016										
H10	"2,3-Butanediol"		0.449		5150		7/20/2016										
H11	"2,3-Butanone"		0.387		5150		7/20/2016										
H12	3-Hydroxy 2-Butanone		0.466		5150		7/20/2016										
